               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09044,            0.045149,            0.019713,             0.70816,             0.24885,             0.24622,            0.079126,            0.068064,            0.034853,            0.021503,             0.07024,           0.0033067,           0.0033067
                   1,            0.065886,            0.031531,            0.013671,             0.72534,             0.25826,             0.26355,             0.11154,            0.064023,             0.02843,            0.020233,            0.040152,           0.0065524,           0.0065524
                   2,            0.060821,            0.028796,            0.013622,             0.76005,              0.2867,             0.33391,             0.14908,            0.058331,            0.027965,            0.018556,           0.0099767,             0.00971,             0.00971
                   3,            0.052665,            0.026899,            0.012623,             0.65375,             0.57397,             0.63166,             0.31444,            0.044408,            0.027723,            0.015214,            0.009604,            0.009604,            0.009604
                   4,            0.046881,            0.026666,           0.0097755,             0.64286,             0.59332,             0.63177,             0.29985,            0.045456,             0.02774,            0.010121,            0.009604,            0.009604,            0.009604
                   5,            0.043196,            0.025692,           0.0073973,              0.8009,             0.64319,             0.72133,             0.39902,            0.038475,            0.026546,           0.0076361,            0.009472,            0.009472,            0.009472
                   6,             0.04115,            0.026012,           0.0064639,             0.71574,              0.6467,             0.67811,             0.36221,             0.04182,            0.026827,           0.0098486,             0.00934,             0.00934,             0.00934
                   7,            0.039252,            0.025137,           0.0060387,             0.68501,             0.66745,              0.6606,             0.37971,            0.038073,            0.025936,           0.0077249,            0.009208,            0.009208,            0.009208
                   8,             0.03883,            0.024978,           0.0057649,             0.79214,              0.6303,             0.71323,             0.40067,            0.039674,            0.026212,           0.0086584,            0.009076,            0.009076,            0.009076
                   9,            0.037654,            0.025474,           0.0052305,             0.82362,             0.63349,             0.71838,             0.39446,            0.037257,            0.026008,           0.0080336,            0.008944,            0.008944,            0.008944
                  10,            0.036029,            0.024155,           0.0048494,             0.82297,             0.68716,             0.75871,             0.42768,            0.038133,             0.02593,           0.0070777,            0.008812,            0.008812,            0.008812
                  11,            0.035791,            0.023705,           0.0048254,             0.76076,             0.68455,             0.75192,             0.42677,            0.036432,            0.025411,           0.0068005,             0.00868,             0.00868,             0.00868
                  12,             0.03557,            0.024451,           0.0046332,             0.79751,              0.6877,             0.75356,             0.45319,            0.034592,            0.025712,           0.0066889,            0.008548,            0.008548,            0.008548
                  13,            0.034313,            0.022697,           0.0042356,             0.85455,             0.66672,             0.77137,             0.45774,             0.03616,            0.025459,           0.0065708,            0.008416,            0.008416,            0.008416
                  14,            0.034533,            0.023654,           0.0046099,             0.82528,             0.67355,              0.7533,             0.45661,            0.034017,            0.026154,           0.0081169,            0.008284,            0.008284,            0.008284
                  15,            0.032543,            0.023092,           0.0042633,             0.84741,             0.69259,             0.78481,              0.4498,            0.034599,            0.026113,           0.0067805,            0.008152,            0.008152,            0.008152
                  16,            0.033208,            0.022776,            0.003638,             0.82981,             0.69857,             0.77204,              0.4753,            0.033946,            0.024739,           0.0077561,             0.00802,             0.00802,             0.00802
                  17,            0.032255,            0.022596,           0.0039893,             0.83813,             0.68724,             0.76311,              0.4679,            0.033605,            0.025109,           0.0065655,            0.007888,            0.007888,            0.007888
                  18,            0.031984,            0.022718,           0.0034739,              0.8379,             0.68564,             0.77734,             0.45222,            0.034575,            0.024959,            0.006719,            0.007756,            0.007756,            0.007756
                  19,            0.031089,            0.022583,           0.0036557,             0.82912,             0.69892,             0.76862,              0.4634,            0.033204,             0.02494,           0.0070452,            0.007624,            0.007624,            0.007624
                  20,            0.031352,            0.022095,           0.0035947,             0.83319,             0.70429,             0.76289,             0.47543,            0.032262,            0.024806,           0.0059511,            0.007492,            0.007492,            0.007492
                  21,            0.030586,            0.022417,           0.0030144,             0.87518,             0.69499,             0.78592,             0.50038,            0.031461,            0.024114,           0.0058716,             0.00736,             0.00736,             0.00736
                  22,            0.030624,            0.021718,           0.0030972,             0.85109,             0.70398,             0.78547,             0.48735,            0.032571,            0.024596,           0.0060109,            0.007228,            0.007228,            0.007228
                  23,            0.029956,            0.021491,            0.003018,             0.84982,             0.70368,             0.78678,             0.48534,            0.032474,            0.024116,           0.0068876,            0.007096,            0.007096,            0.007096
                  24,             0.03055,            0.021945,           0.0033597,             0.87568,             0.69827,             0.78953,             0.49651,            0.031815,            0.024453,           0.0060067,            0.006964,            0.006964,            0.006964
                  25,            0.030106,            0.021497,           0.0032041,              0.8473,             0.71349,             0.79402,             0.49668,            0.031182,            0.024157,           0.0061138,            0.006832,            0.006832,            0.006832
                  26,            0.028868,            0.020868,            0.003187,             0.85496,             0.70222,              0.7812,             0.49374,            0.031663,            0.024524,           0.0060299,              0.0067,              0.0067,              0.0067
                  27,            0.029478,            0.021147,           0.0027945,             0.83653,             0.73184,             0.80114,             0.50643,             0.03114,            0.024131,           0.0051181,            0.006568,            0.006568,            0.006568
                  28,            0.028948,             0.02148,           0.0028689,             0.81942,             0.71251,             0.77917,             0.47668,            0.031832,            0.024376,           0.0062672,            0.006436,            0.006436,            0.006436
                  29,            0.028645,            0.020433,           0.0029108,             0.86469,             0.70723,             0.79023,             0.49602,            0.031404,            0.024301,           0.0053699,            0.006304,            0.006304,            0.006304
                  30,            0.028429,            0.021535,           0.0028102,             0.87401,             0.71051,             0.80523,             0.50587,            0.030943,            0.024476,           0.0054726,            0.006172,            0.006172,            0.006172
                  31,            0.028151,            0.020928,           0.0023423,             0.86144,             0.72334,             0.80626,             0.50763,            0.031023,            0.024421,           0.0059207,             0.00604,             0.00604,             0.00604
                  32,            0.028037,            0.020415,           0.0023418,             0.86234,             0.72406,             0.80521,             0.52214,            0.030458,            0.023974,           0.0059363,            0.005908,            0.005908,            0.005908
                  33,            0.027961,            0.020404,           0.0025835,             0.85483,             0.72903,             0.80491,             0.51356,            0.030575,            0.023938,           0.0062916,            0.005776,            0.005776,            0.005776
                  34,            0.027748,            0.020699,           0.0024108,             0.88615,             0.71443,             0.79549,             0.50707,            0.030541,            0.024254,            0.006127,            0.005644,            0.005644,            0.005644
                  35,            0.027061,            0.019946,           0.0023895,             0.83038,             0.72726,               0.807,             0.51763,            0.030022,            0.024223,           0.0058435,            0.005512,            0.005512,            0.005512
                  36,            0.027182,            0.020371,           0.0024413,             0.86017,              0.7223,             0.80598,             0.51873,            0.030103,            0.024006,           0.0055553,             0.00538,             0.00538,             0.00538
                  37,             0.02738,            0.020315,           0.0023861,             0.84487,             0.72457,             0.80175,             0.50209,            0.030605,            0.024015,           0.0064701,            0.005248,            0.005248,            0.005248
                  38,            0.026715,            0.019761,           0.0022885,             0.85326,             0.70604,             0.79612,             0.51758,            0.030168,            0.024088,            0.005807,            0.005116,            0.005116,            0.005116
                  39,             0.02668,            0.019127,           0.0020905,             0.86025,             0.72307,             0.80745,             0.51345,             0.03029,            0.023998,           0.0059236,            0.004984,            0.004984,            0.004984
                  40,            0.027136,            0.019642,           0.0019701,             0.84072,             0.72756,             0.80012,              0.5183,            0.029795,            0.023818,            0.006063,            0.004852,            0.004852,            0.004852
                  41,            0.026594,            0.019981,           0.0021514,             0.83741,             0.73827,             0.79986,             0.51889,            0.029964,            0.024036,           0.0060545,             0.00472,             0.00472,             0.00472
                  42,            0.026098,            0.019009,           0.0020955,             0.85954,              0.7122,             0.79797,             0.51694,            0.030146,            0.023834,           0.0058541,            0.004588,            0.004588,            0.004588
                  43,            0.026717,            0.020143,           0.0018811,             0.88512,             0.71997,             0.80332,             0.52419,            0.030215,            0.023812,           0.0060966,            0.004456,            0.004456,            0.004456
                  44,            0.025921,            0.019743,           0.0021375,             0.86076,             0.71052,             0.79963,             0.51248,            0.029999,            0.024261,           0.0056403,            0.004324,            0.004324,            0.004324
                  45,            0.026459,            0.019834,           0.0018174,             0.88571,             0.71609,             0.81125,             0.52979,            0.029911,            0.023742,           0.0055746,            0.004192,            0.004192,            0.004192
                  46,            0.026191,            0.019653,           0.0017342,             0.89463,              0.7254,             0.81514,             0.52873,            0.029666,            0.024027,            0.005532,             0.00406,             0.00406,             0.00406
                  47,            0.026107,            0.019561,           0.0019425,             0.85715,             0.72648,               0.805,             0.52157,            0.030017,            0.024187,           0.0056239,            0.003928,            0.003928,            0.003928
                  48,            0.025226,            0.018892,           0.0018274,             0.85463,             0.74247,             0.81134,             0.52417,            0.029805,            0.023841,           0.0065442,            0.003796,            0.003796,            0.003796
                  49,             0.02561,            0.019518,           0.0014613,             0.87083,             0.72014,             0.80649,             0.52493,            0.029586,            0.023807,           0.0058559,            0.003664,            0.003664,            0.003664
                  50,            0.025389,            0.019038,           0.0017031,             0.86639,              0.7123,             0.80086,             0.52093,            0.029622,               0.024,           0.0061167,            0.003532,            0.003532,            0.003532
