               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09044,            0.045149,            0.019713,             0.70816,             0.24885,             0.24622,            0.079126,            0.068064,            0.034853,            0.021503,             0.07024,           0.0033067,           0.0033067
                   1,            0.065973,            0.031519,            0.013653,             0.77224,             0.25564,             0.32089,             0.13072,              0.0601,            0.028847,            0.020441,             0.04018,           0.0065802,           0.0065802
                   2,            0.060511,            0.028905,            0.013577,              0.2797,             0.54862,             0.38663,             0.19287,            0.055925,            0.028818,            0.018513,             0.01006,           0.0097938,           0.0097938
                   3,            0.052551,             0.02698,             0.01237,             0.60044,             0.59778,             0.60888,             0.27058,            0.045714,             0.02752,            0.014596,             0.00973,             0.00973,             0.00973
                   4,            0.047193,            0.026607,           0.0093248,              0.7104,              0.5916,             0.64953,             0.31692,            0.044058,            0.027529,           0.0095159,             0.00973,             0.00973,             0.00973
                   5,            0.043627,            0.025714,           0.0072584,             0.68948,             0.61591,             0.68169,              0.3759,            0.040655,            0.027534,           0.0086238,             0.00964,             0.00964,             0.00964
